City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Fritzlar,DE,51.13,9.28,61.68,76,75,1.14,broken clouds
157,Tiksi,RU,71.69,128.87,43.02,77,93,4.61,overcast clouds
158,Grand Gaube,MU,-20.01,57.66,75.38,59,0,11.99,clear sky
159,Vila Do Maio,CV,15.13,-23.22,74.19,82,62,5.91,broken clouds
160,Trinidad,BO,-14.83,-64.90,78.94,64,98,5.97,overcast clouds
161,Port Hawkesbury,CA,45.62,-61.35,60.75,90,0,6.91,clear sky
162,Bodrum,TR,37.04,27.43,82.33,50,0,6.51,clear sky
163,Sur,OM,22.57,59.53,89.08,64,100,0.51,overcast clouds
164,Luganville,VU,-15.53,167.17,76.21,87,92,13.91,overcast clouds
165,Port Hardy,CA,50.70,-127.42,55.58,100,100,2.3,light intensity shower rain
166,Atyrau,KZ,47.12,51.88,87.82,25,0,6.71,clear sky
167,Olinda,BR,-8.01,-34.86,71.33,100,75,6.91,broken clouds
168,Coihaique,CL,-45.58,-72.07,23.61,93,40,0.0,scattered clouds
169,Havelock,US,34.88,-76.90,82.38,93,75,4.61,thunderstorm
170,Loreto,MX,22.27,-101.97,59.72,81,33,15.28,scattered clouds
171,Port-Gentil,GA,-0.72,8.78,75.16,78,40,9.22,scattered clouds
172,Mount Gambier,AU,-37.83,140.77,49.91,76,100,18.41,light rain
173,Magistralnyy,RU,56.17,107.45,60.01,82,100,2.8,overcast clouds
174,La Maddalena,IT,41.21,9.41,82.45,59,0,7.09,clear sky
175,Pinega,RU,64.70,43.39,70.47,69,96,7.38,overcast clouds
176,Catu,BR,-12.35,-38.38,64.8,96,5,1.92,clear sky
177,Bertoua,CM,4.58,13.68,69.42,96,98,3.13,overcast clouds
178,Lazaro Cardenas,MX,17.96,-102.20,79.14,82,100,3.42,overcast clouds
179,Ahome,MX,25.92,-109.18,81.41,72,100,5.41,overcast clouds
180,Soanierana Ivongo,MG,-16.92,49.58,69.82,87,92,5.77,light rain
181,Babayurt,RU,43.60,46.78,92.82,27,0,8.79,clear sky
182,Temir,KZ,49.14,57.13,83.32,32,5,10.18,clear sky
183,Fare,PF,-16.70,-151.02,77.49,67,100,24.34,light rain
184,Chulman,RU,56.85,124.91,75.38,67,96,5.3,light rain
185,Usinsk,RU,65.99,57.53,83.43,43,74,4.7,broken clouds
186,Vostok,RU,46.49,135.88,69.48,69,100,4.65,light rain
187,Saint George,US,37.10,-113.58,92.62,28,0,7.0,clear sky
188,Yar-Sale,RU,66.83,70.83,69.03,41,100,11.81,overcast clouds
189,Mehamn,NO,71.04,27.85,55.35,82,40,6.91,scattered clouds
190,Palana,RU,59.12,159.97,61.48,69,16,6.4,few clouds
191,Port Hedland,AU,-20.32,118.57,80.65,19,3,12.66,clear sky
192,Kloulklubed,PW,7.04,134.26,73.9,83,100,13.8,moderate rain
193,San Angelo,US,31.46,-100.44,82.54,48,0,5.75,clear sky
194,Birin,NP,26.89,88.07,78.13,68,55,6.38,broken clouds
195,Porto Empedocle,IT,37.29,13.53,88.3,46,0,2.3,clear sky
196,Zalantun,CN,48.00,122.72,75.81,78,93,7.67,overcast clouds
197,Ligayan,PH,4.65,119.47,82.9,74,45,5.77,scattered clouds
198,Norman Wells,CA,65.28,-126.83,55.44,71,75,4.61,broken clouds
199,The Valley,AI,18.22,-63.06,82.26,81,8,22.82,clear sky
200,Aksarka,RU,66.56,67.80,73.24,41,26,10.11,scattered clouds
201,Taoudenni,ML,22.68,-3.98,94.84,13,0,18.92,clear sky
202,Dalhousie,IN,32.53,75.98,74.57,52,100,5.37,overcast clouds
203,Hasaki,JP,35.73,140.83,79.29,85,100,16.13,light rain
204,Vila Franca Do Campo,PT,37.72,-25.43,69.19,91,53,8.88,broken clouds
205,Port Macquarie,AU,-31.43,152.92,59.9,54,100,5.5,overcast clouds
206,Ponta Delgada,PT,37.73,-25.67,69.49,77,20,4.61,few clouds
207,Talavera,PH,15.62,120.93,90.82,63,100,7.81,light rain
208,Upernavik,GL,72.79,-56.15,45.97,65,11,3.62,few clouds
209,Parana,AR,-31.73,-60.52,46.56,86,100,18.16,moderate rain
210,Bandipur,NP,27.93,84.42,86.23,56,36,3.27,scattered clouds
211,Bambous Virieux,MU,-20.34,57.76,75.22,64,40,14.97,scattered clouds
212,Pyshchug,RU,58.89,45.71,69.91,48,0,8.43,clear sky
213,Faya,SA,18.39,42.45,79.32,26,85,9.91,overcast clouds
214,Olafsvik,IS,64.89,-23.71,50.86,91,100,15.43,overcast clouds
215,Ostersund,SE,63.18,14.64,49.6,76,75,18.41,broken clouds
216,Bulgan,MN,48.81,103.53,70.66,36,38,7.61,scattered clouds
217,Birao,CF,10.28,22.79,77.49,70,76,2.93,broken clouds
218,Kerrville,US,30.05,-99.14,76.55,85,0,4.61,clear sky
219,Leningradskiy,RU,69.38,178.42,41.76,69,100,4.99,overcast clouds
220,Columbus,US,39.96,-83.00,70.65,91,100,4.61,overcast clouds
221,Ponta Do Sol,PT,32.67,-17.10,68.72,81,8,1.88,clear sky
222,Bengkulu,ID,-3.80,102.27,82.04,75,100,2.75,overcast clouds
223,Severodvinsk,RU,64.56,39.83,64.51,74,91,4.54,light rain
224,Cabo San Lucas,MX,22.89,-109.91,80.62,69,6,9.22,clear sky
225,Touros,BR,-5.20,-35.46,72.72,93,44,12.5,scattered clouds
226,Doha,QA,25.29,51.53,100.71,47,0,9.22,clear sky
227,Wladyslawowo,PL,54.79,18.40,60.35,73,100,20.71,light rain
228,Otane,NZ,-39.88,176.63,43.02,89,6,3.38,clear sky
229,Outjo,NA,-20.12,16.15,51.82,38,0,12.59,clear sky
230,Choya,RU,52.01,86.55,71.71,75,100,4.34,light rain
231,Sorland,NO,67.67,12.69,51.66,82,75,5.75,broken clouds
232,Saldanha,ZA,-33.01,17.94,46.45,57,3,8.3,clear sky
233,Byron Bay,AU,-28.65,153.62,61.0,76,0,8.72,clear sky
234,Kopavogur,IS,64.11,-21.91,51.85,82,75,11.5,broken clouds
235,Geraldton,AU,-28.77,114.60,70.21,46,100,8.05,overcast clouds
236,Duncan,US,34.50,-97.96,84.42,53,0,8.05,clear sky
237,Kashi,CN,39.45,75.98,83.41,34,20,8.95,few clouds
238,Requena,ES,39.49,-1.10,81.18,25,0,1.86,clear sky
239,Minas,UY,-34.38,-55.24,49.98,97,100,8.03,overcast clouds
240,Zhezkazgan,KZ,47.80,67.71,96.78,16,0,11.18,clear sky
241,Fethiye,TR,36.62,29.12,82.27,32,0,4.09,clear sky
242,Petrovsk-Zabaykalskiy,RU,51.27,108.84,66.52,52,100,8.95,overcast clouds
243,Ust-Nera,RU,64.57,143.20,80.62,42,64,2.93,broken clouds
244,Gazanjyk,TM,39.24,55.52,100.31,16,0,6.06,clear sky
245,Port Lincoln,AU,-34.73,135.87,59.76,77,8,24.27,clear sky
246,Alta Floresta,BR,-9.88,-56.09,71.87,60,100,2.13,overcast clouds
247,Clyde River,CA,70.47,-68.59,39.43,81,0,16.11,clear sky
248,Necochea,AR,-38.55,-58.74,46.87,84,100,25.37,overcast clouds
249,Ilulissat,GL,69.22,-51.10,39.22,100,100,2.3,fog
250,Margate,GB,51.38,1.39,65.89,76,54,4.0,broken clouds
251,San Juan,AR,-31.54,-68.54,37.63,86,100,6.4,overcast clouds
252,Narsaq,GL,60.92,-46.05,44.82,90,100,3.91,overcast clouds
253,Velur,IN,12.93,79.13,95.05,37,100,19.1,overcast clouds
254,Saint Marys,US,30.73,-81.55,80.62,92,0,0.0,clear sky
255,Wajima,JP,37.40,136.90,86.68,61,75,6.91,broken clouds
256,Misratah,LY,32.38,15.09,78.64,55,0,1.21,clear sky
257,Mandera,KE,3.94,41.87,83.61,45,41,22.21,scattered clouds
258,Prince Rupert,CA,54.32,-130.32,53.69,96,100,11.5,light rain
259,Korla,CN,41.76,86.15,80.35,34,93,1.41,overcast clouds
260,Srednekolymsk,RU,67.45,153.68,77.86,42,55,14.16,broken clouds
261,Guerrero Negro,MX,27.98,-114.06,66.33,87,11,10.98,few clouds
262,Dunhua,CN,43.37,128.24,68.47,90,93,11.5,overcast clouds
263,Luderitz,NA,-26.65,15.16,69.66,28,0,15.99,clear sky
264,Pingzhuang,CN,42.04,119.29,82.47,49,86,6.49,overcast clouds
265,Lata,PT,40.16,-8.33,65.19,79,89,0.58,overcast clouds
266,Jibuti,DJ,11.50,42.50,90.95,31,53,18.1,broken clouds
267,Esperance,AU,-33.87,121.90,59.99,64,87,13.73,overcast clouds
268,Paragominas,BR,-2.97,-47.48,69.76,96,84,2.48,broken clouds
269,Victoria,HK,22.29,114.16,93.25,86,92,4.0,overcast clouds
270,Chuy,UY,-33.70,-53.46,56.12,98,98,7.02,overcast clouds
271,Egvekinot,RU,66.32,-179.17,47.77,63,97,4.5,overcast clouds
272,Elbeuf,FR,49.29,1.00,64.13,69,0,4.61,clear sky
273,Karpathos,GR,35.51,27.21,76.96,73,20,34.52,few clouds
274,Dumas,US,35.87,-101.97,80.53,34,0,10.36,clear sky
275,Bubaque,GW,11.28,-15.83,80.24,81,81,11.45,broken clouds
276,Leh,IN,34.17,77.58,65.25,39,96,6.29,overcast clouds
277,Chifeng,CN,42.27,118.96,82.38,49,36,6.96,scattered clouds
278,Pevek,RU,69.70,170.31,39.02,69,50,8.88,scattered clouds
279,College,US,64.86,-147.80,58.59,92,100,10.36,light rain
280,Porto Novo,BJ,6.50,2.60,78.62,87,100,6.06,light rain
281,Jiazi,CN,22.88,116.07,87.12,77,100,19.42,overcast clouds
282,Naze,JP,28.37,129.48,83.32,86,100,15.86,overcast clouds
283,Bolshaya Rechka,RU,51.95,104.74,68.27,52,74,4.14,broken clouds
284,Zaragoza,ES,41.66,-0.88,88.86,34,0,1.14,clear sky
285,Tshikapa,CD,-6.42,20.80,78.64,35,94,5.64,overcast clouds
286,Conceicao Do Araguaia,BR,-8.26,-49.26,69.73,56,9,1.21,clear sky
287,Camacari,BR,-12.70,-38.32,76.77,84,2,4.79,clear sky
288,Kondoa,TZ,-4.90,35.78,67.91,55,85,6.69,overcast clouds
289,Paamiut,GL,61.99,-49.67,39.54,88,100,2.55,overcast clouds
290,Ilhabela,BR,-23.78,-45.36,71.96,62,98,5.01,overcast clouds
291,Sandpoint,US,48.28,-116.55,64.98,80,0,0.0,clear sky
292,Souillac,MU,-20.52,57.52,73.78,64,40,14.97,scattered clouds
293,Grand-Santi,GF,4.25,-54.38,70.81,99,99,1.59,overcast clouds
294,Port Victoria,KE,0.09,33.98,69.64,71,100,6.55,overcast clouds
295,Andros Town,BS,24.70,-77.77,78.76,72,12,13.76,moderate rain
296,Chapais,CA,49.78,-74.85,58.78,82,53,5.48,broken clouds
297,Graaff-Reinet,ZA,-32.25,24.53,59.0,37,51,8.46,broken clouds
298,Oranjestad,AW,12.52,-70.03,80.22,86,6,20.54,clear sky
